Franchise,Country,Creation Date,Revenue (Billion USD),Number of Platforms,Month,Interest Value
Warcraft,US,1994,12.4,51,2004-09-01,3
Yo-kai Watch,Japan,2013,2.09,18,2004-09-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2004-09-01,1
Angry Birds,US,2009,9.54,76,2004-10-01,0
Anpanman,Japan,1973,38.4,13,2004-10-01,0
Astro Boy,Japan,1952,3.0,32,2004-10-01,0
Barbie,US,1987,36.3,73,2004-10-01,5
Beyblade,Japan,1999,4.6,1,2004-10-01,0
Batman,US,1939,29.9,117,2004-10-01,1
Call Of Duty,US,2003,31.0,28,2004-10-01,3
Candy Crush,US,2012,20.0,0,2004-10-01,0
Cars,US,2006,21.5,89,2004-10-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2004-10-01,0
Despicable Me (Minions),US,2010,12.3,108,2004-10-01,0
Disney Princess,US,2000,45.4,247,2004-10-01,0
Dora The Explorer,US,2000,15.8,67,2004-10-01,0
Dragon Ball,Japan,1984,10.7,50,2004-10-01,3
Fate (Fate/Stay Night),Japan,2004,7.0,29,2004-10-01,0
Frozen,US,2013,13.9,107,2004-10-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2004-10-01,0
Gran Turismo,Japan,1997,4.1,52,2004-10-01,1
Grand Theft Auto (Gta),US,1997,10.0,26,2004-10-01,13
Gundam,Japan,1979,5.0,17,2004-10-01,0
Hamtaro,Japan,1997,3.02,3,2004-10-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2004-10-01,4
Hello Kitty,Japan,1974,33.5,7,2004-10-01,1
James Bond,US,1953,9.75,135,2004-10-01,1
Jurassic Park,US,1990,10.1,106,2004-10-01,0
Kumamon,Japan,2010,2.36,,2004-10-01,0
Looney Tunes,US,1930,17.46,80,2004-10-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2004-10-01,0
Monster Strike,Japan,2013,10.0,34,2004-10-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2004-10-01,1
Paw Patrol,US,2013,15.4,95,2004-10-01,0
Pac-Man,Japan,1980,15.43,8,2004-10-01,1
Peanuts,US,1950,14.4,51,2004-10-01,0
Power Rangers,Japan,1975,8.67,61,2004-10-01,0
Resident Evil (Biohazard),Japan,1996,2.0,102,2004-10-01,3
Rilakkuma,Japan,2003,10.0,,2004-10-01,0
Sailor Moon,Japan,1991,2.5,16,2004-10-01,1
Sonic The Hedgehog,Japan,1991,7.37,108,2004-10-01,1
Space Invaders,Japan,1978,13.9,46,2004-10-01,0
Spider-Man,US,1962,26.8,107,2004-10-01,2
Spongebob Squarepants,US,1999,16.6,83,2004-10-01,2
Star Trek,US,1966,11.2,106,2004-10-01,1
Star Wars,US,1977,46.7,60,2004-10-01,4
Street Fighter,Japan,1987,10.7,103,2004-10-01,1
Super Mario,Japan,1981,8.75,93,2004-10-01,4
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2004-10-01,0
Avengers,US,1963,14.3,78,2004-10-01,0
The Lion King,US,1994,15.9,63,2004-10-01,1
Toy Story,US,1995,14.8,40,2004-10-01,0
Ultraman,Japan,1966,7.4,49,2004-10-01,0
Warcraft,US,1994,12.4,51,2004-10-01,3
Yo-kai Watch,Japan,2013,2.09,18,2004-10-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2004-10-01,1
Angry Birds,US,2009,9.54,76,2004-11-01,0
Anpanman,Japan,1973,38.4,13,2004-11-01,0
Astro Boy,Japan,1952,3.0,32,2004-11-01,0
Barbie,US,1987,36.3,73,2004-11-01,5
Beyblade,Japan,1999,4.6,1,2004-11-01,0
Batman,US,1939,29.9,117,2004-11-01,1
Call Of Duty,US,2003,31.0,28,2004-11-01,3
Candy Crush,US,2012,20.0,0,2004-11-01,0
Cars,US,2006,21.5,89,2004-11-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2004-11-01,0
Despicable Me (Minions),US,2010,12.3,108,2004-11-01,0
Disney Princess,US,2000,45.4,247,2004-11-01,0
Dora The Explorer,US,2000,15.8,67,2004-11-01,0
Dragon Ball,Japan,1984,10.7,50,2004-11-01,3
Fate (Fate/Stay Night),Japan,2004,7.0,29,2004-11-01,0
Frozen,US,2013,13.9,107,2004-11-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2004-11-01,0
Gran Turismo,Japan,1997,4.1,52,2004-11-01,1
Grand Theft Auto (Gta),US,1997,10.0,26,2004-11-01,15
Gundam,Japan,1979,5.0,17,2004-11-01,0
Hamtaro,Japan,1997,3.02,3,2004-11-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2004-11-01,5
Hello Kitty,Japan,1974,33.5,7,2004-11-01,1
James Bond,US,1953,9.75,135,2004-11-01,1
Jurassic Park,US,1990,10.1,106,2004-11-01,0
Kumamon,Japan,2010,2.36,,2004-11-01,0
Looney Tunes,US,1930,17.46,80,2004-11-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2004-11-01,0
Monster Strike,Japan,2013,10.0,34,2004-11-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2004-11-01,1
Paw Patrol,US,2013,15.4,95,2004-11-01,0
Pac-Man,Japan,1980,15.43,8,2004-11-01,1
Peanuts,US,1950,14.4,51,2004-11-01,0
Power Rangers,Japan,1975,8.67,61,2004-11-01,0
Resident Evil (Biohazard),Japan,1996,2.0,102,2004-11-01,2
Rilakkuma,Japan,2003,10.0,,2004-11-01,0
Sailor Moon,Japan,1991,2.5,16,2004-11-01,1
Sonic The Hedgehog,Japan,1991,7.37,108,2004-11-01,1
Space Invaders,Japan,1978,13.9,46,2004-11-01,0
Spider-Man,US,1962,26.8,107,2004-11-01,2
Spongebob Squarepants,US,1999,16.6,83,2004-11-01,2
Star Trek,US,1966,11.2,106,2004-11-01,1
Star Wars,US,1977,46.7,60,2004-11-01,4
Street Fighter,Japan,1987,10.7,103,2004-11-01,1
Super Mario,Japan,1981,8.75,93,2004-11-01,4
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2004-11-01,0
Avengers,US,1963,14.3,78,2004-11-01,0
The Lion King,US,1994,15.9,63,2004-11-01,1
Toy Story,US,1995,14.8,40,2004-11-01,0
Ultraman,Japan,1966,7.4,49,2004-11-01,0
Warcraft,US,1994,12.4,51,2004-11-01,7
Yo-kai Watch,Japan,2013,2.09,18,2004-11-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2004-11-01,1
Angry Birds,US,2009,9.54,76,2004-12-01,0
Anpanman,Japan,1973,38.4,13,2004-12-01,0
Astro Boy,Japan,1952,3.0,32,2004-12-01,0
Barbie,US,1987,36.3,73,2004-12-01,6
Beyblade,Japan,1999,4.6,1,2004-12-01,0
Batman,US,1939,29.9,117,2004-12-01,1
Call Of Duty,US,2003,31.0,28,2004-12-01,4
Candy Crush,US,2012,20.0,0,2004-12-01,0
Cars,US,2006,21.5,89,2004-12-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2004-12-01,0
Despicable Me (Minions),US,2010,12.3,108,2004-12-01,0
Disney Princess,US,2000,45.4,247,2004-12-01,0
Dora The Explorer,US,2000,15.8,67,2004-12-01,0
Dragon Ball,Japan,1984,10.7,50,2004-12-01,4
Fate (Fate/Stay Night),Japan,2004,7.0,29,2004-12-01,0
Frozen,US,2013,13.9,107,2004-12-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2004-12-01,0
Gran Turismo,Japan,1997,4.1,52,2004-12-01,1
Grand Theft Auto (Gta),US,1997,10.0,26,2004-12-01,11
Gundam,Japan,1979,5.0,17,2004-12-01,0
Hamtaro,Japan,1997,3.02,3,2004-12-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2004-12-01,6
Hello Kitty,Japan,1974,33.5,7,2004-12-01,1
James Bond,US,1953,9.75,135,2004-12-01,1
Jurassic Park,US,1990,10.1,106,2004-12-01,0
Kumamon,Japan,2010,2.36,,2004-12-01,0
Looney Tunes,US,1930,17.46,80,2004-12-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2004-12-01,0
Monster Strike,Japan,2013,10.0,34,2004-12-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2004-12-01,1
Paw Patrol,US,2013,15.4,95,2004-12-01,0
Pac-Man,Japan,1980,15.43,8,2004-12-01,2
Peanuts,US,1950,14.4,51,2004-12-01,0
Power Rangers,Japan,1975,8.67,61,2004-12-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2004-12-01,2
Rilakkuma,Japan,2003,10.0,,2004-12-01,0
Sailor Moon,Japan,1991,2.5,16,2004-12-01,1
Sonic The Hedgehog,Japan,1991,7.37,108,2004-12-01,1
Space Invaders,Japan,1978,13.9,46,2004-12-01,0
Spider-Man,US,1962,26.8,107,2004-12-01,2
Spongebob Squarepants,US,1999,16.6,83,2004-12-01,3
Star Trek,US,1966,11.2,106,2004-12-01,1
Star Wars,US,1977,46.7,60,2004-12-01,3
Street Fighter,Japan,1987,10.7,103,2004-12-01,1
Super Mario,Japan,1981,8.75,93,2004-12-01,4
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2004-12-01,0
Avengers,US,1963,14.3,78,2004-12-01,0
The Lion King,US,1994,15.9,63,2004-12-01,1
Toy Story,US,1995,14.8,40,2004-12-01,0
Ultraman,Japan,1966,7.4,49,2004-12-01,0
Warcraft,US,1994,12.4,51,2004-12-01,9
Yo-kai Watch,Japan,2013,2.09,18,2004-12-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2004-12-01,1
Angry Birds,US,2009,9.54,76,2005-01-01,0
Anpanman,Japan,1973,38.4,13,2005-01-01,0
Astro Boy,Japan,1952,3.0,32,2005-01-01,0
Barbie,US,1987,36.3,73,2005-01-01,5
Beyblade,Japan,1999,4.6,1,2005-01-01,0
Batman,US,1939,29.9,117,2005-01-01,1
Call Of Duty,US,2003,31.0,28,2005-01-01,3
Candy Crush,US,2012,20.0,0,2005-01-01,0
Cars,US,2006,21.5,89,2005-01-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2005-01-01,0
Despicable Me (Minions),US,2010,12.3,108,2005-01-01,0
Disney Princess,US,2000,45.4,247,2005-01-01,0
Dora The Explorer,US,2000,15.8,67,2005-01-01,0
Dragon Ball,Japan,1984,10.7,50,2005-01-01,4
Fate (Fate/Stay Night),Japan,2004,7.0,29,2005-01-01,0
Frozen,US,2013,13.9,107,2005-01-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2005-01-01,0
Gran Turismo,Japan,1997,4.1,52,2005-01-01,1
Grand Theft Auto (Gta),US,1997,10.0,26,2005-01-01,9
Gundam,Japan,1979,5.0,17,2005-01-01,0
Hamtaro,Japan,1997,3.02,3,2005-01-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2005-01-01,4
Hello Kitty,Japan,1974,33.5,7,2005-01-01,1
James Bond,US,1953,9.75,135,2005-01-01,1
Jurassic Park,US,1990,10.1,106,2005-01-01,0
Kumamon,Japan,2010,2.36,,2005-01-01,0
Looney Tunes,US,1930,17.46,80,2005-01-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2005-01-01,0
Monster Strike,Japan,2013,10.0,34,2005-01-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2005-01-01,1
Paw Patrol,US,2013,15.4,95,2005-01-01,0
Pac-Man,Japan,1980,15.43,8,2005-01-01,1
Peanuts,US,1950,14.4,51,2005-01-01,0
Power Rangers,Japan,1975,8.67,61,2005-01-01,0
Resident Evil (Biohazard),Japan,1996,2.0,102,2005-01-01,2
Rilakkuma,Japan,2003,10.0,,2005-01-01,0
Sailor Moon,Japan,1991,2.5,16,2005-01-01,1
Sonic The Hedgehog,Japan,1991,7.37,108,2005-01-01,1
Space Invaders,Japan,1978,13.9,46,2005-01-01,0
Spider-Man,US,1962,26.8,107,2005-01-01,1
Spongebob Squarepants,US,1999,16.6,83,2005-01-01,3
Star Trek,US,1966,11.2,106,2005-01-01,1
Star Wars,US,1977,46.7,60,2005-01-01,3
Street Fighter,Japan,1987,10.7,103,2005-01-01,0
Super Mario,Japan,1981,8.75,93,2005-01-01,4
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2005-01-01,0
Avengers,US,1963,14.3,78,2005-01-01,0
The Lion King,US,1994,15.9,63,2005-01-01,1
Toy Story,US,1995,14.8,40,2005-01-01,0
Ultraman,Japan,1966,7.4,49,2005-01-01,0
Warcraft,US,1994,12.4,51,2005-01-01,10
Yo-kai Watch,Japan,2013,2.09,18,2005-01-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2005-01-01,1
Angry Birds,US,2009,9.54,76,2005-02-01,0
Anpanman,Japan,1973,38.4,13,2005-02-01,0
Astro Boy,Japan,1952,3.0,32,2005-02-01,0
Barbie,US,1987,36.3,73,2005-02-01,5
Beyblade,Japan,1999,4.6,1,2005-02-01,0
Batman,US,1939,29.9,117,2005-02-01,1
Call Of Duty,US,2003,31.0,28,2005-02-01,3
Candy Crush,US,2012,20.0,0,2005-02-01,0
Cars,US,2006,21.5,89,2005-02-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2005-02-01,0
Despicable Me (Minions),US,2010,12.3,108,2005-02-01,0
Disney Princess,US,2000,45.4,247,2005-02-01,0
Dora The Explorer,US,2000,15.8,67,2005-02-01,0
Dragon Ball,Japan,1984,10.7,50,2005-02-01,4
Fate (Fate/Stay Night),Japan,2004,7.0,29,2005-02-01,0
Frozen,US,2013,13.9,107,2005-02-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2005-02-01,0
Gran Turismo,Japan,1997,4.1,52,2005-02-01,2
Grand Theft Auto (Gta),US,1997,10.0,26,2005-02-01,7
Gundam,Japan,1979,5.0,17,2005-02-01,0
Hamtaro,Japan,1997,3.02,3,2005-02-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2005-02-01,4
Hello Kitty,Japan,1974,33.5,7,2005-02-01,1
James Bond,US,1953,9.75,135,2005-02-01,1
Jurassic Park,US,1990,10.1,106,2005-02-01,0
Kumamon,Japan,2010,2.36,,2005-02-01,0
Looney Tunes,US,1930,17.46,80,2005-02-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2005-02-01,0
Monster Strike,Japan,2013,10.0,34,2005-02-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2005-02-01,0
Paw Patrol,US,2013,15.4,95,2005-02-01,0
Pac-Man,Japan,1980,15.43,8,2005-02-01,1
Peanuts,US,1950,14.4,51,2005-02-01,0
Power Rangers,Japan,1975,8.67,61,2005-02-01,0
Resident Evil (Biohazard),Japan,1996,2.0,102,2005-02-01,2
Rilakkuma,Japan,2003,10.0,,2005-02-01,0
Sailor Moon,Japan,1991,2.5,16,2005-02-01,1
Sonic The Hedgehog,Japan,1991,7.37,108,2005-02-01,1
Space Invaders,Japan,1978,13.9,46,2005-02-01,0
Spider-Man,US,1962,26.8,107,2005-02-01,1
Spongebob Squarepants,US,1999,16.6,83,2005-02-01,3
Star Trek,US,1966,11.2,106,2005-02-01,1
Star Wars,US,1977,46.7,60,2005-02-01,3
Street Fighter,Japan,1987,10.7,103,2005-02-01,0
Super Mario,Japan,1981,8.75,93,2005-02-01,4
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2005-02-01,0
Avengers,US,1963,14.3,78,2005-02-01,0
The Lion King,US,1994,15.9,63,2005-02-01,1
Toy Story,US,1995,14.8,40,2005-02-01,0
Ultraman,Japan,1966,7.4,49,2005-02-01,0
Warcraft,US,1994,12.4,51,2005-02-01,13
Yo-kai Watch,Japan,2013,2.09,18,2005-02-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2005-02-01,1
Angry Birds,US,2009,9.54,76,2005-03-01,0
Anpanman,Japan,1973,38.4,13,2005-03-01,0
Astro Boy,Japan,1952,3.0,32,2005-03-01,0
Barbie,US,1987,36.3,73,2005-03-01,5
Beyblade,Japan,1999,4.6,1,2005-03-01,0
Batman,US,1939,29.9,117,2005-03-01,1
Call Of Duty,US,2003,31.0,28,2005-03-01,2
Candy Crush,US,2012,20.0,0,2005-03-01,0
Cars,US,2006,21.5,89,2005-03-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2005-03-01,0
Despicable Me (Minions),US,2010,12.3,108,2005-03-01,0
Disney Princess,US,2000,45.4,247,2005-03-01,0
Dora The Explorer,US,2000,15.8,67,2005-03-01,0
Dragon Ball,Japan,1984,10.7,50,2005-03-01,3
Fate (Fate/Stay Night),Japan,2004,7.0,29,2005-03-01,0
Frozen,US,2013,13.9,107,2005-03-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2005-03-01,0
Gran Turismo,Japan,1997,4.1,52,2005-03-01,3
Grand Theft Auto (Gta),US,1997,10.0,26,2005-03-01,6
Gundam,Japan,1979,5.0,17,2005-03-01,0
Hamtaro,Japan,1997,3.02,3,2005-03-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2005-03-01,4
Hello Kitty,Japan,1974,33.5,7,2005-03-01,1
James Bond,US,1953,9.75,135,2005-03-01,1
Jurassic Park,US,1990,10.1,106,2005-03-01,0
Kumamon,Japan,2010,2.36,,2005-03-01,0
Looney Tunes,US,1930,17.46,80,2005-03-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2005-03-01,0
Monster Strike,Japan,2013,10.0,34,2005-03-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2005-03-01,0
Paw Patrol,US,2013,15.4,95,2005-03-01,0
Pac-Man,Japan,1980,15.43,8,2005-03-01,1
Peanuts,US,1950,14.4,51,2005-03-01,0
Power Rangers,Japan,1975,8.67,61,2005-03-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2005-03-01,2
Rilakkuma,Japan,2003,10.0,,2005-03-01,0
Sailor Moon,Japan,1991,2.5,16,2005-03-01,1
Sonic The Hedgehog,Japan,1991,7.37,108,2005-03-01,1
Space Invaders,Japan,1978,13.9,46,2005-03-01,0
Spider-Man,US,1962,26.8,107,2005-03-01,1
Spongebob Squarepants,US,1999,16.6,83,2005-03-01,2
Star Trek,US,1966,11.2,106,2005-03-01,1
Star Wars,US,1977,46.7,60,2005-03-01,6
Street Fighter,Japan,1987,10.7,103,2005-03-01,0
Super Mario,Japan,1981,8.75,93,2005-03-01,4
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2005-03-01,0
Avengers,US,1963,14.3,78,2005-03-01,0
The Lion King,US,1994,15.9,63,2005-03-01,1
Toy Story,US,1995,14.8,40,2005-03-01,0
Ultraman,Japan,1966,7.4,49,2005-03-01,0
Warcraft,US,1994,12.4,51,2005-03-01,13
Yo-kai Watch,Japan,2013,2.09,18,2005-03-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2005-03-01,1
Angry Birds,US,2009,9.54,76,2005-04-01,0
Anpanman,Japan,1973,38.4,13,2005-04-01,0
Astro Boy,Japan,1952,3.0,32,2005-04-01,0
Barbie,US,1987,36.3,73,2005-04-01,5
Beyblade,Japan,1999,4.6,1,2005-04-01,0
Batman,US,1939,29.9,117,2005-04-01,1
Call Of Duty,US,2003,31.0,28,2005-04-01,2
Candy Crush,US,2012,20.0,0,2005-04-01,0
Cars,US,2006,21.5,89,2005-04-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2005-04-01,0
Despicable Me (Minions),US,2010,12.3,108,2005-04-01,0
Disney Princess,US,2000,45.4,247,2005-04-01,0
Dora The Explorer,US,2000,15.8,67,2005-04-01,0
Dragon Ball,Japan,1984,10.7,50,2005-04-01,3
Fate (Fate/Stay Night),Japan,2004,7.0,29,2005-04-01,0
Frozen,US,2013,13.9,107,2005-04-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2005-04-01,0
Gran Turismo,Japan,1997,4.1,52,2005-04-01,1
Grand Theft Auto (Gta),US,1997,10.0,26,2005-04-01,5
Gundam,Japan,1979,5.0,17,2005-04-01,0
Hamtaro,Japan,1997,3.02,3,2005-04-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2005-04-01,4
Hello Kitty,Japan,1974,33.5,7,2005-04-01,1
James Bond,US,1953,9.75,135,2005-04-01,1
Jurassic Park,US,1990,10.1,106,2005-04-01,0
Kumamon,Japan,2010,2.36,,2005-04-01,0
Looney Tunes,US,1930,17.46,80,2005-04-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2005-04-01,0
Monster Strike,Japan,2013,10.0,34,2005-04-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2005-04-01,0
Paw Patrol,US,2013,15.4,95,2005-04-01,0
Pac-Man,Japan,1980,15.43,8,2005-04-01,1
Peanuts,US,1950,14.4,51,2005-04-01,0
Power Rangers,Japan,1975,8.67,61,2005-04-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2005-04-01,2
Rilakkuma,Japan,2003,10.0,,2005-04-01,0
Sailor Moon,Japan,1991,2.5,16,2005-04-01,1
Sonic The Hedgehog,Japan,1991,7.37,108,2005-04-01,1
Space Invaders,Japan,1978,13.9,46,2005-04-01,0
Spider-Man,US,1962,26.8,107,2005-04-01,1
Spongebob Squarepants,US,1999,16.6,83,2005-04-01,2
Star Trek,US,1966,11.2,106,2005-04-01,1
Star Wars,US,1977,46.7,60,2005-04-01,8
Street Fighter,Japan,1987,10.7,103,2005-04-01,0
Super Mario,Japan,1981,8.75,93,2005-04-01,4
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2005-04-01,0
Avengers,US,1963,14.3,78,2005-04-01,0
The Lion King,US,1994,15.9,63,2005-04-01,1
Toy Story,US,1995,14.8,40,2005-04-01,0
Ultraman,Japan,1966,7.4,49,2005-04-01,0
Warcraft,US,1994,12.4,51,2005-04-01,13
Yo-kai Watch,Japan,2013,2.09,18,2005-04-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2005-04-01,1
Angry Birds,US,2009,9.54,76,2005-05-01,0
Anpanman,Japan,1973,38.4,13,2005-05-01,0
Astro Boy,Japan,1952,3.0,32,2005-05-01,0
Barbie,US,1987,36.3,73,2005-05-01,5
Beyblade,Japan,1999,4.6,1,2005-05-01,0
Batman,US,1939,29.9,117,2005-05-01,1
Call Of Duty,US,2003,31.0,28,2005-05-01,2
Candy Crush,US,2012,20.0,0,2005-05-01,0
Cars,US,2006,21.5,89,2005-05-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2005-05-01,0
Despicable Me (Minions),US,2010,12.3,108,2005-05-01,0
Disney Princess,US,2000,45.4,247,2005-05-01,0
Dora The Explorer,US,2000,15.8,67,2005-05-01,0
Dragon Ball,Japan,1984,10.7,50,2005-05-01,3
Fate (Fate/Stay Night),Japan,2004,7.0,29,2005-05-01,0
Frozen,US,2013,13.9,107,2005-05-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2005-05-01,0
Gran Turismo,Japan,1997,4.1,52,2005-05-01,1
Grand Theft Auto (Gta),US,1997,10.0,26,2005-05-01,6
Gundam,Japan,1979,5.0,17,2005-05-01,0
Hamtaro,Japan,1997,3.02,3,2005-05-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2005-05-01,5
Hello Kitty,Japan,1974,33.5,7,2005-05-01,1
James Bond,US,1953,9.75,135,2005-05-01,1
Jurassic Park,US,1990,10.1,106,2005-05-01,0
Kumamon,Japan,2010,2.36,,2005-05-01,0
Looney Tunes,US,1930,17.46,80,2005-05-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2005-05-01,0
Monster Strike,Japan,2013,10.0,34,2005-05-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2005-05-01,0
Paw Patrol,US,2013,15.4,95,2005-05-01,0
Pac-Man,Japan,1980,15.43,8,2005-05-01,1
Peanuts,US,1950,14.4,51,2005-05-01,0
Power Rangers,Japan,1975,8.67,61,2005-05-01,0
Resident Evil (Biohazard),Japan,1996,2.0,102,2005-05-01,1
Rilakkuma,Japan,2003,10.0,,2005-05-01,0
Sailor Moon,Japan,1991,2.5,16,2005-05-01,1
Sonic The Hedgehog,Japan,1991,7.37,108,2005-05-01,1
Space Invaders,Japan,1978,13.9,46,2005-05-01,0
Spider-Man,US,1962,26.8,107,2005-05-01,1
Spongebob Squarepants,US,1999,16.6,83,2005-05-01,2
Star Trek,US,1966,11.2,106,2005-05-01,1
Star Wars,US,1977,46.7,60,2005-05-01,22
Street Fighter,Japan,1987,10.7,103,2005-05-01,0
Super Mario,Japan,1981,8.75,93,2005-05-01,4
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2005-05-01,0
Avengers,US,1963,14.3,78,2005-05-01,0
The Lion King,US,1994,15.9,63,2005-05-01,1
Toy Story,US,1995,14.8,40,2005-05-01,0
Ultraman,Japan,1966,7.4,49,2005-05-01,0
Warcraft,US,1994,12.4,51,2005-05-01,13
Yo-kai Watch,Japan,2013,2.09,18,2005-05-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2005-05-01,1
Angry Birds,US,2009,9.54,76,2005-06-01,0
Anpanman,Japan,1973,38.4,13,2005-06-01,0
Astro Boy,Japan,1952,3.0,32,2005-06-01,0
Barbie,US,1987,36.3,73,2005-06-01,5
Beyblade,Japan,1999,4.6,1,2005-06-01,0
Batman,US,1939,29.9,117,2005-06-01,3
Call Of Duty,US,2003,31.0,28,2005-06-01,2
Candy Crush,US,2012,20.0,0,2005-06-01,0
Cars,US,2006,21.5,89,2005-06-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2005-06-01,0
Despicable Me (Minions),US,2010,12.3,108,2005-06-01,0
Disney Princess,US,2000,45.4,247,2005-06-01,0
Dora The Explorer,US,2000,15.8,67,2005-06-01,0
Dragon Ball,Japan,1984,10.7,50,2005-06-01,3
Fate (Fate/Stay Night),Japan,2004,7.0,29,2005-06-01,0
Frozen,US,2013,13.9,107,2005-06-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2005-06-01,0
Gran Turismo,Japan,1997,4.1,52,2005-06-01,1
Grand Theft Auto (Gta),US,1997,10.0,26,2005-06-01,14
Gundam,Japan,1979,5.0,17,2005-06-01,0
Hamtaro,Japan,1997,3.02,3,2005-06-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2005-06-01,5
Hello Kitty,Japan,1974,33.5,7,2005-06-01,1
James Bond,US,1953,9.75,135,2005-06-01,1
Jurassic Park,US,1990,10.1,106,2005-06-01,0
Kumamon,Japan,2010,2.36,,2005-06-01,0
Looney Tunes,US,1930,17.46,80,2005-06-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2005-06-01,0
Monster Strike,Japan,2013,10.0,34,2005-06-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2005-06-01,0
Paw Patrol,US,2013,15.4,95,2005-06-01,0
Pac-Man,Japan,1980,15.43,8,2005-06-01,1
Peanuts,US,1950,14.4,51,2005-06-01,0
Power Rangers,Japan,1975,8.67,61,2005-06-01,0
Resident Evil (Biohazard),Japan,1996,2.0,102,2005-06-01,1
Rilakkuma,Japan,2003,10.0,,2005-06-01,0
Sailor Moon,Japan,1991,2.5,16,2005-06-01,1
Sonic The Hedgehog,Japan,1991,7.37,108,2005-06-01,1
Space Invaders,Japan,1978,13.9,46,2005-06-01,0
Spider-Man,US,1962,26.8,107,2005-06-01,1
Spongebob Squarepants,US,1999,16.6,83,2005-06-01,2
Star Trek,US,1966,11.2,106,2005-06-01,1
Star Wars,US,1977,46.7,60,2005-06-01,12
Street Fighter,Japan,1987,10.7,103,2005-06-01,0
Super Mario,Japan,1981,8.75,93,2005-06-01,4
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2005-06-01,0
Avengers,US,1963,14.3,78,2005-06-01,0
