Franchise,Year,RevenueBillionDollars,Original Medium,Owner
Pokémon,1996,115,Video game,The Pokémon Company (Nintendo/Creatures/Game Freak)
Mickey Mouse & Friends,1928,61.2,Animated cartoon,The Walt Disney Company
Winnie the Pooh,1924,50.2,Book,The Walt Disney Company
Star Wars,1977,46.7,Film,Lucasfilm (The Walt Disney Company)
Disney Princess,2000,45.4,Animated films,The Walt Disney Company
Anpanman,1973,38.4,Picture book,Froebel-kan
Barbie,1987,36.3,Television special,Mattel
Marvel Cinematic Universe (MCU),2008,35.2,Film,Marvel Studios (The Walt Disney Company)
Wizarding World (Harry Potter),1997,34.7,Novel,Warner Bros. (Warner Bros. Discovery)
Hello Kitty,1974,33.5,Cartoon character,Sanrio
Call of Duty,2003,31,Video game,Activision Blizzard (Microsoft Gaming)
Batman,1939,29.9,Comic book,DC Entertainment (Warner Bros. Discovery)
Spider-Man,1962,26.8,Comic book,Marvel Entertainment (The Walt Disney Company)
Transformers,1984,25,Animated series,Hasbro
Dungeon Fighter Online (DFO),2005,22,Video game,Nexon
Cars,2006,21.5,Animated film,Pixar (The Walt Disney Company)
Candy Crush,2012,20,Video game,Activision Blizzard (Microsoft Gaming)
Looney Tunes,1930,17.46,Animated cartoon,Warner Bros. (Warner Bros. Discovery)
Teenage Mutant Ninja Turtles,1984,17.4,Comic book,Nickelodeon (Paramount)
SpongeBob SquarePants,1999,16.6,Animated series,Nickelodeon (Paramount)
The Lion King,1994,15.9,Animated film,The Walt Disney Company
Dora the Explorer,2000,15.8,Animated series,Nickelodeon (Paramount)
Pac-Man,1980,15.43,Video game,Bandai Namco Entertainment
Paw Patrol,2013,15.4,Animated series,Spin Master
Toy Story,1995,14.8,Animated film,The Walt Disney Company
Peanuts,1950,14.4,Comic strip,Peanuts Worldwide LLC
Avengers,1963,14.3,Comic book,Marvel Entertainment (The Walt Disney Company)
Frozen,2013,13.9,Animated film,The Walt Disney Company
Space Invaders,1978,13.9,Video game,Taito (Square Enix)
One Piece,1997,12.7,Manga,Multi
Warcraft,1994,12.4,Video game,Activision Blizzard (Microsoft Gaming)
Despicable Me (Minions),2010,12.3,Animated film,Illumination (Universal Pictures)
Star Trek,1966,11.2,Television series,Paramount
Dragon Ball,1984,10.7,Manga,Shueisha / Toei Animation
Street Fighter,1987,10.7,Video game,Capcom
Jurassic Park,1990,10.1,Novel,Universal Pictures
Demon Slayer: Kimetsu no Yaiba,2016,10,Manga,Shueisha / Aniplex
Grand Theft Auto (GTA),1997,10,Video game,Rockstar Games (Take-Two Interactive)
Rilakkuma,2003,10,Manga,San-X
Monster Strike,2013,10,Video game,Mixi
James Bond,1953,9.75,Novel,Metro-Goldwyn-Mayer (Amazon MGM Studios)
Angry Birds,2009,9.54,Video game,Rovio Entertainment (Sega Sammy Holdings)
Thomas & Friends,1945,9.12,Book,Mattel
Fortnite,2017,9,Video game,Epic Games
Mario,1981,8.75,Video game,Nintendo
Super Sentai / Power Rangers,1975,8.67,Television series,Toei Company / Hasbro
Middle-earth (The Lord of the Rings),1937,8.46,Novel,Middle-earth Enterprises
X-Men,1963,8.35,Comic book,Marvel Entertainment (The Walt Disney Company)
Superman,1938,8.2,Comic book,DC Entertainment (Warner Bros. Discovery)
DC Extended Universe (DCEU),2013,8,Film,DC Entertainment (Warner Bros. Discovery)
Fast & Furious,2001,7.98,Film,Universal Pictures (Comcast)
Lilo & Stitch,2002,7.92,Animated film,The Walt Disney Company
Pirates of the Caribbean,2003,7.9,Film,The Walt Disney Company
Ben 10,2005,7.85,Animated series,Cartoon Network (Warner Bros. Discovery)
Sesame Street (The Muppets),1955,7.72,Television series,The Walt Disney Company / Sesame Workshop
Ultra Series (Ultraman),1966,7.4,Television series,Tsuburaya Productions
Sonic the Hedgehog,1991,7.37,Video game,Sega
Avatar,2009,7.32,Film,20th Century Studios (The Walt Disney Company)
Madden NFL,1998,7,Video game,Electronic Arts
Fate (Fate/stay night),2004,7,Video game,Type-Moon / Aniplex
Halo,2001,6.8,Video game,Xbox Game Studios (Microsoft Gaming)
Ice Age,2002,6.42,Animated film,20th Century Studios (The Walt Disney Company)
Shrek,1990,6.3,Picture book,Universal Pictures (Comcast)
The Phantom of the Opera,1986,6.15,Musical theatre,Andrew Lloyd Webber
My Little Pony,1984,5.98,Animated cartoon,Hasbro
Scooby-Doo,1969,5.43,Animated series,Warner Bros. (Warner Bros. Discovery)
Yu-Gi-Oh!,1996,5.42,Manga,Shueisha / Konami
Mamma Mia,1975,5.16,Song,Universal Pictures (Comcast)
Mortal Kombat,1992,5.06,Video game,Warner Bros. (Warner Bros. Discovery)
Gundam,1979,5,Anime series,Bandai Namco Holdings
Genshin Impact,2020,5,Video game,miHoYo
The Sims,2000,5,Video game,Electronic Arts
Bob the Builder,1998,5,Animated series,Mattel
MapleStory,2003,5,Video game,Nexon
The Simpsons,1987,4.9,Animated series,20th Century Studios (The Walt Disney Company)
Assassin's Creed,2007,4.7,Video game,Ubisoft
Mission: Impossible,1966,4.7,Television series,Paramount Pictures
Beyblade,1999,4.6,Manga,Shogakukan
The Big Bang Theory,2007,4.57,Television series,Warner Bros. (Warner Bros. Discovery)
Seinfeld,1989,4.56,Television series,Sony Pictures Television
Minecraft,2009,4.32,Video game,Mojang Studios (Microsoft Gaming)
Twilight,2005,4.31,Novel,Summit Entertainment
Gran Turismo,1997,4.1,Video game,Sony Interactive Entertainment
Strawberry Shortcake,1979,4,Greeting card,WildBrain
The Smurfs,1958,4,Comic,Studio Peyo
Cabbage Patch Kids,1982,4,Television special,Wicked Cool Toys
G.I. Joe,1967,3.95,Comic,Hasbro
The Hunger Games,2008,3.83,Novel,Lionsgate
Blue's Clues,1996,3.6,Television series,Nickelodeon (Paramount)
Beauty and the Beast,1991,3.52,Animated film,The Walt Disney Company
Skylanders,2011,3.5,Video game,Activision Blizzard (Microsoft Gaming)
Titanic,1997,3.45,Film,Paramount Pictures / 20th Century Studios
Titanfall,2014,3.4,Video game,Electronic Arts
Bratz,2001,3.23,Doll,MGA Entertainment
Fengshen Cinematic Universe,2019,3.2,Film,Beijing Enlight Pictures
Care Bears,1981,3.05,Greeting card,Cloudco Entertainment
Hamtaro,1997,3.02,Manga,Shogakukan
Terminator,1984,3,Film,Skydance Media
Astro Boy,1952,3,Manga,Tezuka Productions
Thor,1962,2.98,Comic book,Marvel Entertainment (The Walt Disney Company)
Zootopia (Zootropolis),2016,2.9,Film,The Walt Disney Company
Iron Man,1963,2.89,Comic book,Marvel Entertainment (The Walt Disney Company)
Guardians of the Galaxy,1969,2.71,Comic book,Marvel Entertainment (The Walt Disney Company)
Inside Out,2015,2.67,Film,Pixar (The Walt Disney Company)
The Elder Scrolls,1994,2.65,Video game,ZeniMax Media (Microsoft Gaming)
Godzilla (Gojira),1954,2.63,Film,Toho
Indiana Jones,1981,2.6,Film,Lucasfilm (The Walt Disney Company)
Madagascar,2005,2.59,Animated film,DreamWorks Animation (Comcast)
Captain America,1941,2.55,Comic book,Marvel Entertainment (The Walt Disney Company)
Kung Fu Panda,2008,2.54,Animated film,Universal Pictures (Comcast)
Winx Club,2004,2.53,Animated series,Rainbow S.p.A.
The Powerpuff Girls,1998,2.52,Animated series,Cartoon Network (Warner Bros. Discovery)
Friends,1994,2.5,Television series,Warner Bros. (Warner Bros. Discovery)
Sailor Moon,1991,2.5,Manga,Kodansha / Toei Animation
The Incredibles,2004,2.37,Animated film,The Walt Disney Company
Kumamon,2010,2.36,Cartoon,Kumamoto Prefecture
Aladdin,1992,2.33,Animated film,The Walt Disney Company
Black Panther,1966,2.31,Comic book,Marvel Entertainment (The Walt Disney Company)
Planet of the Apes,1963,2.27,Novel,20th Century Studios (The Walt Disney Company)
Jumanji,1981,2.24,Picture book,Sony
The Little Mermaid,1989,2.21,Animated film,The Walt Disney Company
The Conjuring Universe,2013,2.18,Film,Warner Bros.
Ghostbusters,1984,2.18,Film,Sony
Finding Nemo,2003,2.15,Animated film,The Walt Disney Company
Rocky,1976,2.11,Film,Metro-Goldwyn-Mayer (Amazon)
MonsterVerse,2014,2.09,Film,Warner Bros. / Legendary Entertainment
Yo-kai Watch,2013,2.09,Video game,Level-5
The Matrix,1999,2.06,Film,Warner Bros.
The Chronicles of Narnia,2005,2.06,Film,Netflix
E.T. the Extra-Terrestrial,1982,2.04,Film,Universal Pictures (Comcast)
Robert Langdon (The Da Vinci Code),2000,2.04,Book,Sony
Bourne,1980,2.03,Novel,Universal Pictures (Comcast)
Men in Black,1990,2.02,Comic book,Sony
Resident Evil (Biohazard),1996,2,Video game,Capcom
Guitar Hero,2005,2,Video game,Activision Blizzard (Microsoft Gaming)
Lego,1995,2,Video game,TT Games (Warner Bros. Discovery)
NBA Jam,1993,2,Video game,Electronic Arts
Neon Genesis Evangelion,1994,2,Anime,Khara
