Franchise,Number of Platforms
Star Wars,60.0
Disney Princess,247.0
Barbie,73.0
Marvel Cinematic Universe (MCU),224.0
Wizarding World (Harry Potter),87.0
Call of Duty,28.0
Batman,117.0
Spider-Man,107.0
Cars,89.0
Candy Crush,0.0
Looney Tunes,80.0
Teenage Mutant Ninja Turtles,114.0
SpongeBob SquarePants,83.0
The Lion King,63.0
Dora the Explorer,67.0
Paw Patrol,95.0
Toy Story,40.0
Peanuts,51.0
Avengers,78.0
Frozen,107.0
Warcraft,51.0
Despicable Me (Minions),108.0
Star Trek,106.0
Jurassic Park,106.0
Grand Theft Auto (GTA),26.0
James Bond,135.0
Angry Birds,76.0
Pokémon,79.0
Anpanman,13.0
Hello Kitty,7.0
Pac-Man,8.0
Space Invaders,46.0
Dragon Ball,50.0
Street Fighter,103.0
Rilakkuma,
Monster Strike,34.0
Demon Slayer: Kimetsu no Yaiba,47.0
Mario,93.0
Super Sentai / Power Rangers,61.0
Ultra Series (Ultraman),49.0
Sonic the Hedgehog,108.0
Fate (Fate/stay night),29.0
Yu-Gi-Oh!,34.0
Gundam,17.0
Beyblade,1.0
Gran Turismo,52.0
Hamtaro,3.0
Astro Boy,32.0
Godzilla (Gojira),139.0
Sailor Moon,16.0
Kumamon,
Yo-kai Watch,18.0
Resident Evil (Biohazard),102.0
Neon Genesis Evangelion,31.0
